date,timestamp,open,high,low,close,volume,vwap,india_vix,log_return_1,volatility,sma_6,sma_12,rsi,macd_hist,minutes_since_open,session_position
2024-01-01,2024-01-01 09:15:00,22000.0,22009.82,21983.93,22000.0,171342,21997.92,14.26,,,22000.0,22000.0,,0.0,0.0,0.0
2024-01-01,2024-01-01 09:20:00,22000.0,22002.8,21977.64,21980.62,202770,21987.02,14.26,-0.0008812973193350333,,21990.309999999998,21990.309999999998,0.0,-1.236786324789864,5.0,0.013333333333333334
2024-01-01,2024-01-01 09:25:00,21980.62,21995.2,21969.45,21989.57,97895,21984.74,14.28,0.00040709399361731926,0.0009110302342104479,21990.063333333335,21990.063333333335,31.591951994352897,-1.37315867241472,10.0,0.02666666666666667
2024-01-01,2024-01-01 09:30:00,21989.57,22004.35,21987.26,21997.73,423206,21996.45,14.27,0.0003710161839260453,0.0007336601045549229,21991.98,21991.98,46.88955878322783,-0.8599502419539493,15.0,0.04
2024-01-01,2024-01-01 09:35:00,21997.73,22035.68,21981.67,22020.38,340226,22012.58,14.3,0.001029121968164415,0.0008010028491683776,21997.66,21997.66,67.23030098072368,0.9601775510519278,20.0,0.05333333333333334
2024-01-01,2024-01-01 09:40:00,22020.38,22023.78,21997.65,22011.51,280793,22010.98,14.29,-0.00040288982008196487,0.0007494598905552903,21999.968333333334,21999.968333333334,58.46199088369169,1.4903217723411788,25.0,0.06666666666666667
2024-01-01,2024-01-01 09:45:00,22011.51,22015.66,21986.25,22003.75,226728,22001.89,14.31,-0.00035260498656143537,0.0006958396897398379,22000.593333333334,22000.50857142857,52.47459416655655,1.2515791079676002,30.0,0.08
2024-01-01,2024-01-01 09:50:00,22003.75,22021.86,21985.38,21995.07,163743,22000.77,14.31,-0.00039455604093946564,0.0005886958972306348,22003.001666666667,21999.82875,47.08111308466547,0.4818634717782626,35.0,0.09333333333333334
2024-01-01,2024-01-01 09:55:00,21995.07,21997.39,21966.83,21979.42,194236,21981.21,14.29,-0.0007117763349034796,0.0006496413489518329,22001.309999999998,21997.56111111111,39.72027972027945,-1.0262133520760748,40.0,0.10666666666666667
2024-01-01,2024-01-01 10:00:00,21979.42,21983.5,21920.49,21930.38,247510,21944.79,14.35,-0.0022336708611537,0.001042134125020538,21990.085000000003,21990.843,26.65951455008799,-5.046557631907221,45.0,0.12
2024-01-01,2024-01-01 10:05:00,21930.38,21960.63,21915.5,21951.76,126572,21942.63,14.38,0.0009744283980548605,0.0010260832423198544,21978.64833333333,21987.29,35.855031667839114,-5.925247380282747,50.0,0.13333333333333333
2024-01-01,2024-01-01 10:10:00,21951.76,21973.91,21941.62,21970.53,136243,21962.02,14.32,0.000854691371630117,0.0011727880445281287,21971.818333333333,21985.89333333333,42.21564794759337,-4.941805828955085,55.0,0.14666666666666667
2024-01-01,2024-01-01 10:15:00,21970.53,21975.38,21926.33,21943.03,83478,21948.25,14.31,-0.0012524606793364666,0.001235117229617808,21961.698333333334,21981.145833333332,36.86055629872205,-5.784350015370968,60.0,0.16
2024-01-01,2024-01-01 10:20:00,21943.03,21959.8,21931.63,21937.21,119523,21942.88,14.35,-0.00026526746590847973,0.0012376242483023178,21952.054999999997,21977.528333333332,35.8968599793359,-6.330468473186675,65.0,0.17333333333333334
2024-01-01,2024-01-01 10:25:00,21937.21,21941.06,21912.82,21925.19,316323,21926.35,14.31,-0.0005480776382910657,0.0012322010163937944,21943.016666666666,21972.16333333333,34.05787836167562,-7.043405692554465,70.0,0.18666666666666668
2024-01-01,2024-01-01 10:30:00,21925.19,21960.12,21902.53,21913.94,142386,21925.53,14.33,-0.0005132401234673911,0.000870529219741744,21940.27666666667,21965.180833333332,35.28035320088294,-7.758335385290632,75.0,0.2
2024-01-01,2024-01-01 10:35:00,21913.94,21918.48,21872.46,21874.37,143323,21888.44,14.35,-0.0018073321747798534,0.0009078517718188432,21927.37833333333,21953.013333333332,27.59800871188527,-10.226669549497487,80.0,0.21333333333333335
2024-01-01,2024-01-01 10:40:00,21874.37,21879.56,21846.63,21864.6,184814,21863.6,14.33,-0.00044674120869735807,0.0005959333388713677,21909.72333333333,21940.770833333332,24.272407529084134,-11.739534481398902,85.0,0.22666666666666666
2024-01-01,2024-01-01 10:45:00,21864.6,21882.78,21854.48,21878.99,85400,21872.08,14.33,0.0006579249905679811,0.0007885854811010315,21899.05,21930.374166666665,21.775062881782503,-11.00563139780671,90.0,0.24
2024-01-01,2024-01-01 10:50:00,21878.99,21937.97,21867.45,21932.01,237554,21912.48,14.27,0.0024203978856465417,0.0014360819018079064,21898.183333333334,21925.119166666667,36.50804426040302,-6.411609648154339,95.0,0.25333333333333335
2024-01-01,2024-01-01 10:55:00,21932.01,21944.61,21928.86,21942.43,270104,21938.63,14.32,0.0004749918264899426,0.0014243092965980902,21901.056666666667,21922.036666666667,39.68649085037676,-2.3429856362217727,100.0,0.26666666666666666
2024-01-01,2024-01-01 11:00:00,21942.43,21950.3,21926.51,21947.47,189267,21941.43,14.31,0.00022966559605534879,0.0013889556732242774,21906.645,21923.46083333333,41.894837215638425,0.8450463654226148,105.0,0.28
2024-01-01,2024-01-01 11:05:00,21947.47,21974.1,21932.84,21939.93,315066,21948.96,14.34,-0.0003436065966170061,0.0010387065418056584,21917.571666666667,21922.475000000002,43.08478968934996,2.5092662070004863,110.0,0.29333333333333333
2024-01-01,2024-01-01 11:10:00,21939.93,21952.34,21894.73,21930.71,95728,21925.92,14.36,-0.00042032667568768067,0.0010339426730248276,21928.59,21919.156666666666,50.067152334051954,3.0182161532301777,115.0,0.30666666666666664
2024-01-01,2024-01-01 11:15:00,21930.71,21970.53,21929.47,21952.04,340267,21950.68,14.4,0.0009721360525411426,0.0010511621864321586,21940.765,21919.9075,50.056989334853554,4.719135817668526,120.0,0.32
2024-01-01,2024-01-01 11:20:00,21952.04,21960.67,21933.51,21960.42,121504,21951.53,14.38,0.0003816684422473706,0.0005262170840571559,21945.5,21921.841666666664,47.851404768988736,6.240799378190964,125.0,0.3333333333333333
2024-01-01,2024-01-01 11:25:00,21960.42,21982.47,21950.04,21950.5,97541,21961.0,14.39,-0.0004518238364742758,0.0005691774599096144,21946.845,21923.950833333332,51.71574256970947,6.388253275245512,130.0,0.3466666666666667
2024-01-01,2024-01-01 11:30:00,21950.5,21964.62,21920.28,21932.95,148011,21939.28,14.41,-0.0007998459982357602,0.0006567132522241132,21944.425,21925.535,49.07157178973098,5.165160504808998,135.0,0.36
2024-01-01,2024-01-01 11:35:00,21932.95,21946.01,21919.53,21932.39,344139,21932.64,14.43,-2.5532687084180823e-05,0.000646877581167981,21943.168333333335,21930.37,51.65167920719413,4.219641841848242,140.0,0.37333333333333335
2024-01-01,2024-01-01 11:40:00,21932.39,21933.74,21923.93,21924.49,161493,21927.39,14.47,-0.00036026274944508073,0.0006405697930159669,21942.131666666668,21935.360833333336,52.45794697358066,3.0196278329344075,145.0,0.38666666666666666
2024-01-01,2024-01-01 11:45:00,21924.49,21932.7,21922.68,21927.01,112079,21927.46,14.45,0.000114933354743741,0.00042808685992653536,21937.960000000003,21939.3625,64.82315836900206,2.3811055031891932,150.0,0.4
2024-01-01,2024-01-01 11:50:00,21927.01,21935.68,21923.48,21925.11,96957,21928.09,14.43,-8.665487557664327e-05,0.00033570163986635867,21932.075,21938.787500000002,67.82957157169068,1.8404865805132022,155.0,0.41333333333333333
2024-01-01,2024-01-01 11:55:00,21925.11,21935.48,21915.37,21935.43,156053,21928.76,14.47,0.00047058245021354335,0.0004321458387677459,21929.563333333335,21938.204166666666,67.03900495109332,2.1652287645847217,160.0,0.4266666666666667
2024-01-01,2024-01-01 12:00:00,21935.43,21941.71,21896.18,21902.12,73277,21913.34,14.41,-0.0015197020093856654,0.0006859053727368687,21924.425,21934.425,39.7573846891919,0.22603933693314815,165.0,0.44
2024-01-01,2024-01-01 12:05:00,21902.12,21934.23,21891.91,21930.82,96753,21918.99,14.46,0.001309517641359101,0.0009375961164475742,21924.163333333334,21933.665833333333,46.46446190389155,0.9263350928120602,170.0,0.4533333333333333
2024-01-01,2024-01-01 12:10:00,21930.82,22011.53,21917.07,22003.94,301711,21977.51,14.45,0.003328574800933205,0.001622661776550104,21937.405,21939.768333333337,62.156111422051744,6.076967687427402,175.0,0.4666666666666667
2024-01-01,2024-01-01 12:15:00,22003.94,22041.03,21999.42,22035.46,276317,22025.31,14.45,0.0014314457227908516,0.0016324662650020233,21955.48,21946.72,68.6400000000003,11.07831507016487,180.0,0.48
2024-01-01,2024-01-01 12:20:00,22035.46,22045.73,22023.22,22041.24,154605,22036.73,14.43,0.00026227008978135444,0.001599492284835545,21974.835000000003,21953.454999999998,71.86029033661744,14.055998092468048,185.0,0.49333333333333335
2024-01-01,2024-01-01 12:25:00,22041.24,22064.66,22034.46,22064.56,135095,22054.56,14.43,0.0010574573944045573,0.0015873132373248322,21996.35666666667,21962.960000000003,72.08006279434929,16.696517794601018,190.0,0.5066666666666667
2024-01-01,2024-01-01 12:30:00,22064.56,22074.72,22028.46,22037.84,166608,22047.01,14.47,-0.001211725587241015,0.0014925301081825388,22018.97666666667,21971.700833333336,64.17221937468022,15.755799014703891,195.0,0.52
2024-01-01,2024-01-01 12:35:00,22037.84,22053.05,21994.75,21995.97,416315,22014.59,14.49,-0.0019017210919845245,0.0018938732913648742,22029.835000000003,21976.999166666665,57.45189943950993,11.616995107432428,200.0,0.5333333333333333
2024-01-01,2024-01-01 12:40:00,21995.97,22026.64,21987.66,22016.4,191375,22010.23,14.5,0.0009283754302415555,0.0013512460652114206,22031.911666666667,21984.658333333336,63.548397571192226,9.640019313512935,205.0,0.5466666666666666
2024-01-01,2024-01-01 12:45:00,22016.4,22026.61,21978.91,22002.18,234191,22002.56,14.51,-0.000646090832310344,0.0011975307064369704,22026.365,21990.9225,60.849423250318914,6.888418232111642,210.0,0.56
2024-01-01,2024-01-01 12:50:00,22002.18,22012.76,21963.58,21966.62,150093,21980.99,14.46,-0.0016175109510876973,0.001279216182996766,22013.928333333333,21994.381666666668,56.030805347991254,2.4179714585937795,215.0,0.5733333333333334
2024-01-01,2024-01-01 12:55:00,21966.62,21984.86,21932.76,21943.41,166767,21953.68,14.44,-0.0010571617537772206,0.001004559556754715,21993.736666666668,21995.046666666665,52.21633601816332,-2.112829186154446,220.0,0.5866666666666667
2024-01-01,2024-01-01 13:00:00,21943.41,21961.91,21895.16,21909.06,210842,21922.04,14.43,-0.0015666167504543727,0.0010353157327602455,21972.273333333334,21995.625,48.005864373928496,-7.150059621377526,225.0,0.6
2024-01-01,2024-01-01 13:05:00,21909.06,21927.36,21863.77,21864.45,171174,21885.19,14.44,-0.002038219710676891,0.001060888699670104,21950.353333333333,21990.094166666666,41.8735116321672,-12.879123293634805,230.0,0.6133333333333333
